antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,zhangs_metric,jaccard,certainty,kulczynski
ClaimAmount_medium,"DiagnosisCode_low, ClaimDate_unknown_date",0.2,0.2,0.1,0.51,2.53,1.0,0.06,0.76,0.34,0.38,0.51
"ClaimDate_unknown_date, ClaimAmount_medium",DiagnosisCode_low,0.2,0.2,0.1,0.51,2.53,1.0,0.06,0.76,0.34,0.38,0.51
ClaimAmount_medium,ProcedureCode_low,0.2,0.2,0.1,0.51,2.53,1.0,0.06,0.76,0.34,0.38,0.51
ClaimAmount_medium,"DiagnosisCode_low, ProcedureCode_low",0.2,0.2,0.1,0.51,2.53,1.0,0.06,0.76,0.34,0.38,0.51
ClaimAmount_medium,"DiagnosisCode_low, ProcedureCode_low, ClaimDate_unknown_date",0.2,0.2,0.1,0.51,2.53,1.0,0.06,0.76,0.34,0.38,0.51
"ClaimDate_unknown_date, ClaimAmount_medium","DiagnosisCode_low, ProcedureCode_low",0.2,0.2,0.1,0.51,2.53,1.0,0.06,0.76,0.34,0.38,0.51
ProcedureCode_low,ClaimAmount_medium,0.2,0.2,0.1,0.5,2.53,1.0,0.06,0.76,0.34,0.38,0.51
DiagnosisCode_low,"ClaimDate_unknown_date, ClaimAmount_medium",0.2,0.2,0.1,0.5,2.53,1.0,0.06,0.76,0.34,0.38,0.51
DiagnosisCode_low,ClaimAmount_medium,0.2,0.2,0.1,0.5,2.53,1.0,0.06,0.76,0.34,0.38,0.51
"ProcedureCode_low, ClaimDate_unknown_date",ClaimAmount_medium,0.2,0.2,0.1,0.5,2.53,1.0,0.06,0.76,0.34,0.38,0.51
ProcedureCode_low,"ClaimDate_unknown_date, ClaimAmount_medium",0.2,0.2,0.1,0.5,2.53,1.0,0.06,0.76,0.34,0.38,0.51
"DiagnosisCode_low, ClaimDate_unknown_date",ClaimAmount_medium,0.2,0.2,0.1,0.5,2.53,1.0,0.06,0.76,0.34,0.38,0.51
"DiagnosisCode_low, ProcedureCode_low, ClaimDate_unknown_date",ClaimAmount_medium,0.2,0.2,0.1,0.5,2.53,1.0,0.06,0.76,0.34,0.38,0.51
"DiagnosisCode_low, ProcedureCode_low",ClaimAmount_medium,0.2,0.2,0.1,0.5,2.53,1.0,0.06,0.76,0.34,0.38,0.51
"DiagnosisCode_low, ProcedureCode_low","ClaimDate_unknown_date, ClaimAmount_medium",0.2,0.2,0.1,0.5,2.53,1.0,0.06,0.76,0.34,0.38,0.51
DiagnosisCode_low,"ProcedureCode_low, ClaimAmount_medium",0.2,0.1,0.1,0.5,4.98,1.0,0.08,1.0,0.5,0.45,0.75
"DiagnosisCode_low, ClaimDate_unknown_date","ProcedureCode_low, ClaimAmount_medium",0.2,0.1,0.1,0.5,4.98,1.0,0.08,1.0,0.5,0.45,0.75
"ProcedureCode_low, ClaimDate_unknown_date","DiagnosisCode_low, ClaimAmount_medium",0.2,0.1,0.1,0.5,4.98,1.0,0.08,1.0,0.5,0.45,0.75
DiagnosisCode_low,"ProcedureCode_low, ClaimDate_unknown_date, ClaimAmount_medium",0.2,0.1,0.1,0.5,4.98,1.0,0.08,1.0,0.5,0.45,0.75
ProcedureCode_low,"DiagnosisCode_low, ClaimDate_unknown_date, ClaimAmount_medium",0.2,0.1,0.1,0.5,4.98,1.0,0.08,1.0,0.5,0.45,0.75
ProcedureCode_low,"DiagnosisCode_low, ClaimAmount_medium",0.2,0.1,0.1,0.5,4.98,1.0,0.08,1.0,0.5,0.45,0.75
